,Unnamed: 0,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
32186,565248,1572312,Superficial injury of head,Condition,ICD10CM,3-char nonbill code,,S00,20120101,20991231,
32187,565249,1572313,Superficial injury of scalp,Condition,ICD10CM,4-char nonbill code,,S00.0,20120101,20991231,
32219,565281,1572314,Contusion of eyelid and periocular area,Condition,ICD10CM,4-char nonbill code,,S00.1,20120101,20991231,
32232,565294,1572315,Other and unspecified superficial injuries of eyelid and periocular area,Condition,ICD10CM,4-char nonbill code,,S00.2,20120101,20991231,
32325,565387,1572323,Superficial injury of nose,Condition,ICD10CM,4-char nonbill code,,S00.3,20120101,20991231,
32356,565418,1572324,Superficial injury of ear,Condition,ICD10CM,4-char nonbill code,,S00.4,20120101,20991231,
32461,565523,1572332,Superficial injury of lip and oral cavity,Condition,ICD10CM,4-char nonbill code,,S00.5,20120101,20991231,
32533,565595,1572341,Superficial injury of other parts of head,Condition,ICD10CM,4-char nonbill code,,S00.8,20120101,20991231,
32567,565629,1572342,Superficial injury of unspecified part of head,Condition,ICD10CM,4-char nonbill code,,S00.9,20120101,20991231,
32600,565662,1572344,Open wound of scalp,Condition,ICD10CM,4-char nonbill code,,S01.0,20120101,20991231,
32624,565686,1572345,Open wound of eyelid and periocular area,Condition,ICD10CM,4-char nonbill code,,S01.1,20120101,20991231,
32704,565766,1572352,Open wound of nose,Condition,ICD10CM,4-char nonbill code,,S01.2,20120101,20991231,
32728,565790,1572353,Open wound of ear,Condition,ICD10CM,4-char nonbill code,,S01.3,20120101,20991231,
32807,565869,1572360,Open wound of cheek and temporomandibular area,Condition,ICD10CM,4-char nonbill code,,S01.4,20120101,20991231,
32940,566002,1572374,Open wound of other parts of head,Condition,ICD10CM,4-char nonbill code,,S01.8,20120101,20991231,
32965,566027,1572375,Open wound of unspecified part of head,Condition,ICD10CM,4-char nonbill code,,S01.9,20120101,20991231,
32990,566052,1572376,Fracture of skull and facial bones,Condition,ICD10CM,3-char nonbill code,,S02,20120101,20991231,
32997,566059,1572377,Fracture of base of skull,Condition,ICD10CM,4-char nonbill code,,S02.1,20120101,20991231,
33147,566209,10368,Fracture of nasal bones,Condition,ICD10CM,4-char nonbill code,,S02.2,20140101,20991231,
33155,566217,10369,Fracture of orbital floor,Condition,ICD10CM,4-char nonbill code,,S02.3,20140101,20991231,
33177,566239,1572379,"Fracture of malar, maxillary and zygoma bones",Condition,ICD10CM,4-char nonbill code,,S02.4,20120101,20991231,
33272,566334,10377,Fracture of tooth (traumatic),Condition,ICD10CM,4-char nonbill code,,S02.5,20140101,20991231,
33279,566341,1572382,Fracture of mandible,Condition,ICD10CM,4-char nonbill code,,S02.6,20120101,20991231,
33296,566358,1572432,Other specified intracranial injuries,Condition,ICD10CM,4-char nonbill code,,S06.8,20120101,20991231,
33453,566515,10388,Fractures of other specified skull and facial bones,Condition,ICD10CM,4-char nonbill code,,S02.8,20140101,20991231,
33526,566588,1572384,Fracture of unspecified skull and facial bones,Condition,ICD10CM,4-char nonbill code,,S02.9,20120101,20991231,
33541,566603,1572385,Dislocation and sprain of joints and ligaments of head,Condition,ICD10CM,3-char nonbill code,,S03,20120101,20991231,
33542,566604,10391,Dislocation of jaw,Condition,ICD10CM,4-char nonbill code,,S03.0,20140101,20991231,
33557,566619,10392,Dislocation of septal cartilage of nose,Condition,ICD10CM,4-char nonbill code,,S03.1,20140101,20991231,
33561,566623,10393,Dislocation of tooth,Condition,ICD10CM,4-char nonbill code,,S03.2,20140101,20991231,
33565,566627,10394,Sprain of jaw,Condition,ICD10CM,4-char nonbill code,,S03.4,20140101,20991231,
33579,566641,10395,Sprain of joints and ligaments of other parts of head,Condition,ICD10CM,4-char nonbill code,,S03.8,20140101,20991231,
33583,566645,10396,Sprain of joints and ligaments of unspecified parts of head,Condition,ICD10CM,4-char nonbill code,,S03.9,20140101,20991231,
33587,566649,1572386,Injury of cranial nerve,Condition,ICD10CM,3-char nonbill code,,S04,20120101,20991231,
33588,566650,1572387,Injury of optic nerve and pathways,Condition,ICD10CM,4-char nonbill code,,S04.0,20120101,20991231,
33630,566692,1572452,Unspecified injury of face and head,Condition,ICD10CM,4-char nonbill code,,S09.9,20120101,20991231,
33633,566695,1572391,Injury of oculomotor nerve,Condition,ICD10CM,4-char nonbill code,,S04.1,20120101,20991231,
33646,566708,1572392,Injury of trochlear nerve,Condition,ICD10CM,4-char nonbill code,,S04.2,20120101,20991231,
33659,566721,1572393,Injury of trigeminal nerve,Condition,ICD10CM,4-char nonbill code,,S04.3,20120101,20991231,
33672,566734,1572394,Injury of abducent nerve,Condition,ICD10CM,4-char nonbill code,,S04.4,20120101,20991231,
33685,566747,1572395,Injury of facial nerve,Condition,ICD10CM,4-char nonbill code,,S04.5,20120101,20991231,
33698,566760,1572396,Injury of acoustic nerve,Condition,ICD10CM,4-char nonbill code,,S04.6,20120101,20991231,
33711,566773,1572397,Injury of accessory nerve,Condition,ICD10CM,4-char nonbill code,,S04.7,20120101,20991231,
33724,566786,1572398,Injury of other cranial nerves,Condition,ICD10CM,4-char nonbill code,,S04.8,20120101,20991231,
33752,566814,10433,Injury of unspecified cranial nerve,Condition,ICD10CM,4-char nonbill code,,S04.9,20140101,20991231,
33756,566818,1572401,Injury of eye and orbit,Condition,ICD10CM,3-char nonbill code,,S05,20120101,20991231,
33757,566819,1572402,Injury of conjunctiva and corneal abrasion without foreign body,Condition,ICD10CM,4-char nonbill code,,S05.0,20120101,20991231,
33771,566833,1572403,Contusion of eyeball and orbital tissues,Condition,ICD10CM,4-char nonbill code,,S05.1,20120101,20991231,
33784,566846,1572404,Ocular laceration and rupture with prolapse or loss of intraocular tissue,Condition,ICD10CM,4-char nonbill code,,S05.2,20120101,20991231,
33797,566859,1572405,Ocular laceration without prolapse or loss of intraocular tissue,Condition,ICD10CM,4-char nonbill code,,S05.3,20120101,20991231,
33810,566872,1572406,Penetrating wound of orbit with or without foreign body,Condition,ICD10CM,4-char nonbill code,,S05.4,20120101,20991231,
33823,566885,1572407,Penetrating wound with foreign body of eyeball,Condition,ICD10CM,4-char nonbill code,,S05.5,20120101,20991231,
33836,566898,1572408,Penetrating wound without foreign body of eyeball,Condition,ICD10CM,4-char nonbill code,,S05.6,20120101,20991231,
33861,566923,1572410,Other injuries of eye and orbit,Condition,ICD10CM,4-char nonbill code,,S05.8,20120101,20991231,
33865,566927,10656,Crushing injury of other parts of head,Condition,ICD10CM,4-char nonbill code,,S07.8,20140101,20991231,
33876,566938,1572412,Unspecified injury of eye and orbit,Condition,ICD10CM,4-char nonbill code,,S05.9,20120101,20991231,
33888,566950,1572413,Intracranial injury,Condition,ICD10CM,3-char nonbill code,,S06,20120101,20991231,
33889,566951,1572414,Concussion,Condition,ICD10CM,4-char nonbill code,,S06.0,20120101,20991231,
33902,566964,1572415,Traumatic cerebral edema,Condition,ICD10CM,4-char nonbill code,,S06.1,20120101,20991231,
33940,567002,1572416,Diffuse traumatic brain injury,Condition,ICD10CM,4-char nonbill code,,S06.2,20120101,20991231,
33978,567040,1572418,Focal traumatic brain injury,Condition,ICD10CM,4-char nonbill code,,S06.3,20120101,20991231,
34351,567413,1572429,Traumatic subdural hemorrhage,Condition,ICD10CM,4-char nonbill code,,S06.5,20120101,20991231,
34388,567450,1572430,Traumatic subarachnoid hemorrhage,Condition,ICD10CM,4-char nonbill code,,S06.6,20120101,20991231,
34471,567533,10655,Crushing injury of skull,Condition,ICD10CM,4-char nonbill code,,S07.1,20140101,20991231,
34537,567599,1572436,Unspecified intracranial injury,Condition,ICD10CM,4-char nonbill code,,S06.9,20120101,20991231,
34576,567638,1572438,Crushing injury of head,Condition,ICD10CM,3-char nonbill code,,S07,20120101,20991231,
34577,567639,10654,Crushing injury of face,Condition,ICD10CM,4-char nonbill code,,S07.0,20140101,20991231,
34584,567646,10657,"Crushing injury of head, part unspecified",Condition,ICD10CM,4-char nonbill code,,S07.9,20140101,20991231,
34588,567650,1572439,Avulsion and traumatic amputation of part of head,Condition,ICD10CM,3-char nonbill code,,S08,20120101,20991231,
34589,567651,10658,Avulsion of scalp,Condition,ICD10CM,4-char nonbill code,,S08.0,20140101,20991231,
34593,567655,1572440,Traumatic amputation of ear,Condition,ICD10CM,4-char nonbill code,,S08.1,20120101,20991231,
34615,567677,1572443,Traumatic amputation of other parts of head,Condition,ICD10CM,4-char nonbill code,,S08.8,20120101,20991231,
34628,567690,1572445,Other and unspecified injuries of head,Condition,ICD10CM,3-char nonbill code,,S09,20120101,20991231,
34629,567691,10668,"Injury of blood vessels of head, not elsewhere classified",Condition,ICD10CM,4-char nonbill code,,S09.0,20140101,20991231,
34633,567695,1572446,Injury of muscle and tendon of head,Condition,ICD10CM,4-char nonbill code,,S09.1,20120101,20991231,
34650,567712,1572447,Traumatic rupture of ear drum,Condition,ICD10CM,4-char nonbill code,,S09.2,20120101,20991231,
34663,567725,1572448,Other specified and unspecified injury of middle and inner ear,Condition,ICD10CM,4-char nonbill code,,S09.3,20120101,20991231,
34707,567769,10686,Other specified injuries of head,Condition,ICD10CM,4-char nonbill code,,S09.8,20140101,20991231,
34726,567788,1572453,Superficial injury of neck,Condition,ICD10CM,3-char nonbill code,,S10,20120101,20991231,
34730,567792,1572454,Other and unspecified superficial injuries of throat,Condition,ICD10CM,4-char nonbill code,,S10.1,20120101,20991231,
34759,567821,1572455,Superficial injury of other specified parts of neck,Condition,ICD10CM,4-char nonbill code,,S10.8,20120101,20991231,
34792,567854,1572456,Superficial injury of unspecified part of neck,Condition,ICD10CM,4-char nonbill code,,S10.9,20120101,20991231,
34825,567887,1572458,Open wound of larynx and trachea,Condition,ICD10CM,4-char nonbill code,,S11.0,20120101,20991231,
34901,567963,1572460,Open wound of thyroid gland,Condition,ICD10CM,4-char nonbill code,,S11.1,20120101,20991231,
34927,567989,1572461,Open wound of pharynx and cervical esophagus,Condition,ICD10CM,4-char nonbill code,,S11.2,20120101,20991231,
34952,568014,1572462,Open wound of other specified parts of neck,Condition,ICD10CM,4-char nonbill code,,S11.8,20120101,20991231,
35004,568066,1572464,Fracture of cervical vertebra and other parts of neck,Condition,ICD10CM,3-char nonbill code,,S12,20120101,20991231,
35005,568067,1572465,Fracture of first cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.0,20120101,20991231,
35081,568143,1572470,Fracture of second cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.1,20120101,20991231,
35186,568248,1572477,Fracture of third cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.2,20120101,20991231,
35252,568314,1572482,Fracture of fourth cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.3,20120101,20991231,
35299,568361,11276,Injury of nerve root of thoracic spine,Condition,ICD10CM,4-char nonbill code,,S24.2,20140101,20991231,
35319,568381,1572615,Fracture of thoracic vertebra,Condition,ICD10CM,4-char nonbill code,,S22.0,20120101,20991231,
35383,568445,45539656,Contusion of anus,Condition,ICD10CM,4-char nonbill code,,S30.3,20061230,20991231,
35456,568518,1572497,Fracture of seventh cervical vertebra,Condition,ICD10CM,4-char nonbill code,,S12.6,20120101,20991231,
35524,568586,10826,Fracture of other parts of neck,Condition,ICD10CM,4-char nonbill code,,S12.8,20140101,20991231,
35528,568590,10827,"Fracture of neck, unspecified",Condition,ICD10CM,4-char nonbill code,,S12.9,20140101,20991231,
35531,568593,1572502,Dislocation and sprain of joints and ligaments at neck level,Condition,ICD10CM,3-char nonbill code,,S13,20120101,20991231,
35532,568594,10828,Traumatic rupture of cervical intervertebral disc,Condition,ICD10CM,4-char nonbill code,,S13.0,20140101,20991231,
35536,568598,1572503,Subluxation and dislocation of cervical vertebrae,Condition,ICD10CM,4-char nonbill code,,S13.1,20120101,20991231,
35618,568680,1572513,Dislocation of other and unspecified parts of neck,Condition,ICD10CM,4-char nonbill code,,S13.2,20120101,20991231,
35630,568692,10850,Sprain of thyroid region,Condition,ICD10CM,4-char nonbill code,,S13.5,20140101,20991231,
35634,568696,10851,Sprain of joints and ligaments of other parts of neck,Condition,ICD10CM,4-char nonbill code,,S13.8,20140101,20991231,
35638,568700,10852,Sprain of joints and ligaments of unspecified parts of neck,Condition,ICD10CM,4-char nonbill code,,S13.9,20140101,20991231,
35642,568704,1572514,Injury of nerves and spinal cord at neck level,Condition,ICD10CM,3-char nonbill code,,S14,20120101,20991231,
35643,568705,10853,Concussion and edema of cervical spinal cord,Condition,ICD10CM,4-char nonbill code,,S14.0,20140101,20991231,
35647,568709,1572515,Other and unspecified injuries of cervical spinal cord,Condition,ICD10CM,4-char nonbill code,,S14.1,20120101,20991231,
35870,568932,10908,Injury of nerve root of cervical spine,Condition,ICD10CM,4-char nonbill code,,S14.2,20140101,20991231,
35874,568936,10909,Injury of brachial plexus,Condition,ICD10CM,4-char nonbill code,,S14.3,20140101,20991231,
35878,568940,10910,Injury of peripheral nerves of neck,Condition,ICD10CM,4-char nonbill code,,S14.4,20140101,20991231,
35882,568944,10911,Injury of cervical sympathetic nerves,Condition,ICD10CM,4-char nonbill code,,S14.5,20140101,20991231,
35886,568948,10912,Injury of other specified nerves of neck,Condition,ICD10CM,4-char nonbill code,,S14.8,20140101,20991231,
35890,568952,10913,Injury of unspecified nerves of neck,Condition,ICD10CM,4-char nonbill code,,S14.9,20140101,20991231,
35894,568956,1572522,Injury of blood vessels at neck level,Condition,ICD10CM,3-char nonbill code,,S15,20120101,20991231,
35895,568957,1572523,Injury of carotid artery of neck,Condition,ICD10CM,4-char nonbill code,,S15.0,20120101,20991231,
35936,568998,11249,Sprain of unspecified parts of thorax,Condition,ICD10CM,4-char nonbill code,,S23.9,20140101,20991231,
35948,569010,1572528,Injury of vertebral artery,Condition,ICD10CM,4-char nonbill code,,S15.1,20120101,20991231,
36000,569062,1572533,Injury of external jugular vein,Condition,ICD10CM,4-char nonbill code,,S15.2,20120101,20991231,
36052,569114,1572538,Injury of internal jugular vein,Condition,ICD10CM,4-char nonbill code,,S15.3,20120101,20991231,
36062,569124,1572731,Open wound of scrotum and testes,Condition,ICD10CM,4-char nonbill code,,S31.3,20120101,20991231,
36106,569168,10962,Injury of other specified blood vessels at neck level,Condition,ICD10CM,4-char nonbill code,,S15.8,20140101,20991231,
36110,569172,10963,Injury of unspecified blood vessel at neck level,Condition,ICD10CM,4-char nonbill code,,S15.9,20140101,20991231,
36114,569176,1572543,"Injury of muscle, fascia and tendon at neck level",Condition,ICD10CM,3-char nonbill code,,S16,20120101,20991231,
36115,569177,10964,"Strain of muscle, fascia and tendon at neck level",Condition,ICD10CM,4-char nonbill code,,S16.1,20140101,20991231,
36119,569181,10965,"Laceration of muscle, fascia and tendon at neck level",Condition,ICD10CM,4-char nonbill code,,S16.2,20140101,20991231,
36123,569185,10966,"Other specified injury of muscle, fascia and tendon at neck level",Condition,ICD10CM,4-char nonbill code,,S16.8,20140101,20991231,
36127,569189,10967,"Unspecified injury of muscle, fascia and tendon at neck level",Condition,ICD10CM,4-char nonbill code,,S16.9,20140101,20991231,
36131,569193,1572544,Crushing injury of neck,Condition,ICD10CM,3-char nonbill code,,S17,20120101,20991231,
36132,569194,10968,Crushing injury of larynx and trachea,Condition,ICD10CM,4-char nonbill code,,S17.0,20140101,20991231,
36136,569198,10969,Crushing injury of other specified parts of neck,Condition,ICD10CM,4-char nonbill code,,S17.8,20140101,20991231,
36140,569202,10970,"Crushing injury of neck, part unspecified",Condition,ICD10CM,4-char nonbill code,,S17.9,20140101,20991231,
36144,569206,1572545,Other specified and unspecified injuries of neck,Condition,ICD10CM,3-char nonbill code,,S19,20120101,20991231,
36145,569207,1572546,Other specified injuries of neck,Condition,ICD10CM,4-char nonbill code,,S19.8,20120101,20991231,
36174,569236,10978,Unspecified injury of neck,Condition,ICD10CM,4-char nonbill code,,S19.9,20140101,20991231,
36178,569240,1572547,Superficial injury of thorax,Condition,ICD10CM,3-char nonbill code,,S20,20120101,20991231,
36179,569241,1572548,Contusion of breast,Condition,ICD10CM,4-char nonbill code,,S20.0,20120101,20991231,
36192,569254,1572549,Other and unspecified superficial injuries of breast,Condition,ICD10CM,4-char nonbill code,,S20.1,20120101,20991231,
36247,569309,1572705,Contusion of external genital organs,Condition,ICD10CM,4-char nonbill code,,S30.2,20120101,20991231,
36331,569393,1572560,Other and unspecified superficial injuries of front wall of thorax,Condition,ICD10CM,4-char nonbill code,,S20.3,20120101,20991231,
36450,569512,1572578,Open wound of breast,Condition,ICD10CM,4-char nonbill code,,S21.0,20120101,20991231,
36479,569541,1572568,Other and unspecified superficial injuries of back wall of thorax,Condition,ICD10CM,4-char nonbill code,,S20.4,20120101,20991231,
36570,569632,1572576,Superficial injury of unspecified parts of thorax,Condition,ICD10CM,4-char nonbill code,,S20.9,20120101,20991231,
36600,569662,1572577,Open wound of thorax,Condition,ICD10CM,3-char nonbill code,,S21,20120101,20991231,
36678,569740,1572585,Open wound of front wall of thorax without penetration into thoracic cavity,Condition,ICD10CM,4-char nonbill code,,S21.1,20120101,20991231,
36759,569821,1572592,Open wound of back wall of thorax without penetration into thoracic cavity,Condition,ICD10CM,4-char nonbill code,,S21.2,20120101,20991231,
36918,569980,1572606,Open wound of back wall of thorax with penetration into thoracic cavity,Condition,ICD10CM,4-char nonbill code,,S21.4,20120101,20991231,
36991,570053,1572859,Injury of ovary,Condition,ICD10CM,4-char nonbill code,,S37.4,20120101,20991231,
37022,570084,1572614,"Fracture of rib(s), sternum and thoracic spine",Condition,ICD10CM,3-char nonbill code,,S22,20120101,20991231,
37110,570172,11213,"Fracture of bony thorax, part unspecified",Condition,ICD10CM,4-char nonbill code,,S22.9,20140101,20991231,
37345,570407,1572625,Fracture of sternum,Condition,ICD10CM,4-char nonbill code,,S22.2,20120101,20991231,
37382,570444,1572626,Fracture of one rib,Condition,ICD10CM,4-char nonbill code,,S22.3,20120101,20991231,
37404,570466,1572627,Multiple fractures of ribs,Condition,ICD10CM,4-char nonbill code,,S22.4,20120101,20991231,
37433,570495,11212,Flail chest,Condition,ICD10CM,4-char nonbill code,,S22.5,20140101,20991231,
37445,570507,1572628,Dislocation and sprain of joints and ligaments of thorax,Condition,ICD10CM,3-char nonbill code,,S23,20120101,20991231,
37446,570508,11214,Traumatic rupture of thoracic intervertebral disc,Condition,ICD10CM,4-char nonbill code,,S23.0,20140101,20991231,
37450,570512,1572629,Subluxation and dislocation of thoracic vertebra,Condition,ICD10CM,4-char nonbill code,,S23.1,20120101,20991231,
37562,570624,1572638,Dislocation of other and unspecified parts of thorax,Condition,ICD10CM,4-char nonbill code,,S23.2,20120101,20991231,
37572,570634,11243,Sprain of ligaments of thoracic spine,Condition,ICD10CM,4-char nonbill code,,S23.3,20140101,20991231,
37596,570658,11248,Sprain of other specified parts of thorax,Condition,ICD10CM,4-char nonbill code,,S23.8,20140101,20991231,
37603,570665,1572640,Injury of nerves and spinal cord at thorax level,Condition,ICD10CM,3-char nonbill code,,S24,20120101,20991231,
37604,570666,11250,Concussion and edema of thoracic spinal cord,Condition,ICD10CM,4-char nonbill code,,S24.0,20140101,20991231,
37608,570670,1572641,Other and unspecified injuries of thoracic spinal cord,Condition,ICD10CM,4-char nonbill code,,S24.1,20120101,20991231,
37618,570680,1572914,Open wound of upper arm,Condition,ICD10CM,4-char nonbill code,,S41.1,20120101,20991231,
37717,570779,11277,Injury of peripheral nerves of thorax,Condition,ICD10CM,4-char nonbill code,,S24.3,20140101,20991231,
37721,570783,11278,Injury of thoracic sympathetic nervous system,Condition,ICD10CM,4-char nonbill code,,S24.4,20140101,20991231,
37725,570787,11279,Injury of other specified nerves of thorax,Condition,ICD10CM,4-char nonbill code,,S24.8,20140101,20991231,
37729,570791,11280,Injury of unspecified nerve of thorax,Condition,ICD10CM,4-char nonbill code,,S24.9,20140101,20991231,
37733,570795,1572647,Injury of blood vessels of thorax,Condition,ICD10CM,3-char nonbill code,,S25,20120101,20991231,
37734,570796,1572648,Injury of thoracic aorta,Condition,ICD10CM,4-char nonbill code,,S25.0,20120101,20991231,
37751,570813,1572649,Injury of innominate or subclavian artery,Condition,ICD10CM,4-char nonbill code,,S25.1,20120101,20991231,
37803,570865,1572654,Injury of superior vena cava,Condition,ICD10CM,4-char nonbill code,,S25.2,20120101,20991231,
37820,570882,1572655,Injury of innominate or subclavian vein,Condition,ICD10CM,4-char nonbill code,,S25.3,20120101,20991231,
37872,570934,1572660,Injury of pulmonary blood vessels,Condition,ICD10CM,4-char nonbill code,,S25.4,20120101,20991231,
37925,570987,1572665,Injury of intercostal blood vessels,Condition,ICD10CM,4-char nonbill code,,S25.5,20120101,20991231,
37965,571027,1572669,Injury of other blood vessels of thorax,Condition,ICD10CM,4-char nonbill code,,S25.8,20120101,20991231,
38005,571067,1572673,Injury of unspecified blood vessel of thorax,Condition,ICD10CM,4-char nonbill code,,S25.9,20120101,20991231,
38018,571080,1572674,Injury of heart,Condition,ICD10CM,3-char nonbill code,,S26,20120101,20991231,
38019,571081,1572675,Injury of heart with hemopericardium,Condition,ICD10CM,4-char nonbill code,,S26.0,20120101,20991231,
38045,571107,1572677,Injury of heart without hemopericardium,Condition,ICD10CM,4-char nonbill code,,S26.1,20120101,20991231,
38062,571124,1572678,"Injury of heart, unspecified with or without hemopericardium",Condition,ICD10CM,4-char nonbill code,,S26.9,20120101,20991231,
38079,571141,1572679,Injury of other and unspecified intrathoracic organs,Condition,ICD10CM,3-char nonbill code,,S27,20120101,20991231,
38080,571142,11360,Traumatic pneumothorax,Condition,ICD10CM,4-char nonbill code,,S27.0,20140101,20991231,
38084,571146,11361,Traumatic hemothorax,Condition,ICD10CM,4-char nonbill code,,S27.1,20140101,20991231,
38088,571150,11362,Traumatic hemopneumothorax,Condition,ICD10CM,4-char nonbill code,,S27.2,20140101,20991231,
38092,571154,1572680,Other and unspecified injuries of lung,Condition,ICD10CM,4-char nonbill code,,S27.3,20120101,20991231,
38157,571219,1572684,Injury of bronchus,Condition,ICD10CM,4-char nonbill code,,S27.4,20120101,20991231,
38222,571284,1572688,Injury of thoracic trachea,Condition,ICD10CM,4-char nonbill code,,S27.5,20120101,20991231,
38243,571305,1572689,Injury of pleura,Condition,ICD10CM,4-char nonbill code,,S27.6,20120101,20991231,
38256,571318,1572690,Injury of other specified intrathoracic organs,Condition,ICD10CM,4-char nonbill code,,S27.8,20120101,20991231,
